Vin_A,Vin_B,temp,pvdd,cqload,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp_par,xj_n,xj_p,ndep_n,ndep_p,leakage,delay
0.0,0.0,-8.161953771564349,0.9483427464182637,1.4633303905975867,9.672569153756362e-10,8.405412384481863e-10,8.265941493589587e-10,9.645365161644167e-10,8.73293492243813e-10,8.36120912900673e-10,5.986852198796094e-10,1.2748459139013913e-08,1.1941083155846483e-08,5.862562216665604e+18,2.5198497789761577e+18,1.6087746375431363e-08,3.4979785668083965
1.0,1.0,-23.13220698488847,0.9655310059843286,4.757417229818384,7.883360676746912e-10,8.50498411924092e-10,7.814930698496288e-10,8.664654315113435e-10,7.820892631631616e-10,9.300576121000311e-10,7.018585334648757e-10,1.2314866416724206e-08,1.3217877185410966e-08,6.561115734511019e+18,3.015892101956899e+18,1.658242817444507e-08,4.841212226639358
0.0,0.0,-49.86639552904332,0.9639671846583935,2.1859424543406005,1.0128520718721269e-09,9.458028718952556e-10,8.780813381327532e-10,8.330055316547724e-10,7.764556326436507e-10,8.064714259567752e-10,6.152130550658547e-10,1.5521083771175413e-08,1.4467232742801433e-08,6.851919094455766e+18,2.8986507199880084e+18,1.4502307228520827e-08,5.281005384401324
1.0,0.0,108.67474635308889,0.9652988655326503,2.152530453741993,9.563314569454402e-10,8.99715066041212e-10,8.035276475319244e-10,8.196485748565027e-10,9.742333838151673e-10,7.85197398646365e-10,6.745541768815679e-10,1.3249176630852313e-08,1.5337499540920237e-08,6.48382009912464e+18,2.9766069736597396e+18,1.5590116321208155e-08,0.6339223061620425
1.0,0.0,-53.51983634999952,1.0345928346223632,3.393616755852747,9.073225444720547e-10,9.297611643305141e-10,8.25588967600113e-10,7.93446961572592e-10,8.637976302507459e-10,8.41537908058719e-10,7.228980064018982e-10,1.2096543661972751e-08,1.2385700552903957e-08,6.708024987767654e+18,2.708355747015255e+18,1.6122794213555917e-08,8.302373638507225
1.0,0.0,77.49478598067537,1.0061615856180832,3.8401671259078864,7.992700301063657e-10,8.002128535530978e-10,8.887802172955593e-10,7.693463166575854e-10,7.737200757798686e-10,9.15580647306584e-10,5.765595534357897e-10,1.509635083093051e-08,1.2120943303857264e-08,7.309881043646071e+18,2.683898569999278e+18,1.529931620639108e-08,3.866760185588781
1.0,0.0,-27.613380354487024,0.977084835617329,2.3830381032444308,8.909098147338847e-10,9.598920747460182e-10,1.0073220809029367e-09,7.734998499835847e-10,9.284157856462037e-10,8.80086131626611e-10,6.358807703019657e-10,1.4225305893814838e-08,1.2959700648051991e-08,5.975362874513225e+18,2.745691308982719e+18,1.6231100100724116e-08,4.48413104920931
1.0,0.0,109.20133195992801,0.9298179537457434,1.0778644995415034,8.263216201778834e-10,8.413793950044187e-10,9.338007717281033e-10,8.288337020917348e-10,9.335588097223354e-10,8.443763264137605e-10,5.92936019145708e-10,1.41392341481782e-08,1.2772694141170943e-08,6.552728094103652e+18,3.148833198552493e+18,1.6783840392000226e-08,9.544810819902503
1.0,0.0,105.70326912617944,0.9044278325884292,3.868810127200852,8.240899212339396e-10,9.174447618580491e-10,8.310239367318335e-10,8.307167989635208e-10,8.17769850964768e-10,9.84269746515187e-10,7.244718107603904e-10,1.2269734050410418e-08,1.4555569992048491e-08,5.753110356671465e+18,2.551421900250933e+18,1.4869345202556385e-08,7.109948028294328
1.0,0.0,62.702206346466326,0.9437669355175385,1.6085528616194016,9.707004293431512e-10,7.891286756114701e-10,8.571311373541456e-10,8.569732703744355e-10,8.643227758064234e-10,8.790136551681165e-10,6.312131655650722e-10,1.4812527944776506e-08,1.2697301466166506e-08,6.472895258922586e+18,3.0930634768655544e+18,1.4355369619209664e-08,7.034091621701906
1.0,1.0,66.00214696410893,0.9214942807937363,0.8838027387763495,8.566836836856964e-10,8.416407412538696e-10,8.631578206895282e-10,9.102708122948344e-10,9.05649713408492e-10,8.755818543064164e-10,6.062679575329567e-10,1.2558738746755917e-08,1.4269579400873003e-08,6.086795783085238e+18,2.820352465062876e+18,1.4455571025404632e-08,5.589741138510732
0.0,0.0,-54.03895444545606,1.0570890061704479,3.161884547725816,8.744838460612642e-10,9.24812292438927e-10,7.990239563294718e-10,9.528620819235435e-10,9.114555684274227e-10,7.680408164673378e-10,6.850010178666891e-10,1.190130017354044e-08,1.4399946625891002e-08,6.120515540696188e+18,2.9069805704070026e+18,1.4650512825815488e-08,9.542661509531133
0.0,1.0,122.27688190044836,0.922499591562777,0.46136379828184854,9.7411304339615e-10,8.296483576017237e-10,8.008061639703589e-10,8.102170720469243e-10,8.898233351206058e-10,9.223930792211346e-10,6.62342773862359e-10,1.2385508138120499e-08,1.5008728030855026e-08,6.127183011356497e+18,2.4981157262960143e+18,1.498686031482492e-08,9.883508408763701
1.0,0.0,103.0098686436466,1.0448456474613672,4.857049848679414,7.82298818932586e-10,9.835992979744534e-10,7.976922597657905e-10,9.528490368561433e-10,8.525059011124834e-10,8.766736006633138e-10,7.088792358960093e-10,1.4581326562379084e-08,1.4185932424342561e-08,7.014762617707107e+18,3.0279454417305574e+18,1.6475021515754904e-08,3.5200292205282935
1.0,1.0,106.11912063141656,0.9771317379552166,3.1656623494165634,9.110329346851265e-10,9.279520134586288e-10,8.925026909851768e-10,7.953033400590074e-10,7.774802954052497e-10,7.96849593256569e-10,6.980215869828837e-10,1.4950060623797478e-08,1.547840139833196e-08,6.592516793026032e+18,2.4990736732237537e+18,1.649068317961886e-08,5.907007291939275
1.0,0.0,63.66401666915695,0.9146756779487553,4.929618649399561,9.068667830687516e-10,9.810507118973862e-10,9.312432660318858e-10,1.0111281796552278e-09,7.656600382699222e-10,8.219097522295201e-10,7.356938750019819e-10,1.2733641259432755e-08,1.4546833312541126e-08,6.378098975706831e+18,2.9248433424944276e+18,1.650621083404176e-08,0.17370820049670055
0.0,0.0,7.061647157816573,1.0625460098863173,1.7010781831583939,8.680045005937354e-10,8.604292383717846e-10,9.1004305389115e-10,8.323985809029838e-10,8.76721823471946e-10,8.114003878732215e-10,5.853904922238674e-10,1.3012209804335702e-08,1.2716743487209407e-08,5.740302459391112e+18,2.8908299457844736e+18,1.5718416939269444e-08,7.722336374379825
1.0,0.0,105.85675683628654,1.0159261140473228,4.856313754340086,9.707627589217196e-10,7.686322262266674e-10,1.0083528651051506e-09,9.72683093734854e-10,8.115474374082976e-10,7.910129481151232e-10,5.836463706206073e-10,1.2392335459354474e-08,1.5555255536657005e-08,7.142964869380667e+18,3.1431449957084447e+18,1.5676754273794516e-08,8.754484010444436
0.0,1.0,-2.5269529327853775,0.9471523025727147,0.7363556161658317,9.99494075579266e-10,9.063395506921961e-10,7.919721413534436e-10,8.083783202838449e-10,9.983761667150544e-10,8.706275072176919e-10,7.24251318747162e-10,1.3572709991298801e-08,1.2503219482901472e-08,5.739165181877019e+18,3.062520266492449e+18,1.541854011456767e-08,5.614607749419228
0.0,1.0,46.288077801596515,1.0789362348665337,0.213066914011672,8.781953089260571e-10,8.461551496922446e-10,1.0105644992008998e-09,1.0014632662310633e-09,9.226659225037354e-10,8.522749119503732e-10,7.324744780686031e-10,1.2625632688062275e-08,1.2487003221508842e-08,7.096177743753991e+18,2.7100104204065925e+18,1.6310383276568336e-08,1.7083192997710939
0.0,1.0,-37.04842497810117,0.9090516627741103,0.17459046166846678,8.758613509535935e-10,8.738398474842777e-10,8.785351792075246e-10,9.699632034439018e-10,9.087190619001724e-10,8.514712534492684e-10,6.391278388089725e-10,1.5735311758091846e-08,1.4751105794740537e-08,6.960946505285206e+18,3.0834952497509893e+18,1.678571478309354e-08,4.119524745351053
0.0,1.0,110.95201342389504,0.9403639216395526,2.329703149290143,8.875241873363691e-10,9.33001994336378e-10,8.155327280953929e-10,8.512848721789466e-10,8.632641704998464e-10,8.238881546664878e-10,6.474978710444207e-10,1.4851529972754883e-08,1.3842355329128454e-08,5.942321797658563e+18,2.4911327124585236e+18,1.6630542233368735e-08,6.3454395648171555
0.0,0.0,-29.6613176011816,1.0504093855611722,0.42419094541818797,9.436735038315976e-10,9.379688254360014e-10,9.995933298054624e-10,8.67053818428093e-10,8.436994158731492e-10,8.708523395141666e-10,6.326787086096115e-10,1.4160254189338071e-08,1.2381323644933314e-08,6.781250425820871e+18,2.6308633804236063e+18,1.6710257120488115e-08,8.711848909117538
1.0,0.0,-14.518574968526693,1.041875586061978,2.5657177419963326,9.296873138375365e-10,7.669993293759171e-10,8.790277807767266e-10,7.609748503548359e-10,8.056712233361847e-10,8.99070843066227e-10,7.022067687635953e-10,1.466580109587864e-08,1.219370574184985e-08,5.757752546333296e+18,3.1012510439183913e+18,1.4871490124702054e-08,6.3011117611146785
1.0,0.0,45.4641484630787,0.9578543387448957,1.6442275125094135,8.166000770985493e-10,9.554028789012618e-10,8.482261266234721e-10,8.238637900554933e-10,7.752763435664098e-10,9.153214500168372e-10,7.010337251920622e-10,1.2409321727790558e-08,1.241944208284239e-08,6.114645771339528e+18,2.815132408424092e+18,1.6544292604324612e-08,7.266710287961215
1.0,1.0,82.53674003833669,0.9124049750705566,1.684788672445837,7.762294185442332e-10,8.85353804398844e-10,8.14307766369761e-10,8.334812998117956e-10,9.211624011203015e-10,8.158357203766727e-10,6.074713424563351e-10,1.475646174703339e-08,1.550071907086418e-08,6.143885978314186e+18,2.652411553370294e+18,1.4979148058809003e-08,5.075650000992128
1.0,0.0,56.483235068533816,1.0716156144449889,3.181688892760397,1.0011105489734646e-09,9.014014884244357e-10,8.280403645834137e-10,8.749956295358218e-10,9.579169145856331e-10,9.448722224735623e-10,6.352620020767585e-10,1.3139582475595472e-08,1.4116974452512377e-08,7.386850511875615e+18,2.568541414239223e+18,1.6614429185152026e-08,5.252922491944388
1.0,1.0,-13.215895695971888,0.9627395276139805,0.8238590506965847,8.263117189723609e-10,8.356905230382225e-10,1.0087217555977138e-09,7.953186527547723e-10,9.778717172726623e-10,7.668653840922876e-10,6.061142350962405e-10,1.3641067555572989e-08,1.469768388929003e-08,6.697962224046237e+18,2.7275436935666176e+18,1.5626345218818602e-08,2.0889211570054753
0.0,1.0,-54.83025234505174,0.9391426829856531,3.835101317995258,9.222035579114102e-10,8.668917816441476e-10,8.372092537358127e-10,8.816067895830513e-10,9.439741891888121e-10,9.50611819258037e-10,5.779261046511976e-10,1.5333094186221503e-08,1.2251035065628466e-08,5.754103625147172e+18,3.099090082412554e+18,1.6154978474184718e-08,4.481697333644617
1.0,1.0,81.28710445533906,1.0032123644721955,2.9143342896953874,9.704232526969056e-10,9.404352840307502e-10,1.0083627046349397e-09,9.2979099529649e-10,9.878255240021426e-10,8.318737706028808e-10,5.795406488908679e-10,1.5572936770765415e-08,1.3273749335399383e-08,5.955454110202132e+18,3.1020806597758336e+18,1.523085561786636e-08,4.6259881810309755
1.0,1.0,122.33731866399688,1.0820454398564896,4.575573697949079,8.362702946389853e-10,9.572853059478416e-10,8.438746065994701e-10,8.543057037284029e-10,1.0096328539124688e-09,8.539802190390828e-10,5.949599311344743e-10,1.4858050840005475e-08,1.3996778441079488e-08,6.061339064456483e+18,2.8782127054479877e+18,1.6515603463276928e-08,0.5599528857794933
0.0,1.0,90.78436165509626,0.9087093155686751,1.830554862299942,9.214000870688599e-10,8.583249700166665e-10,8.187802902594947e-10,8.189775999936436e-10,1.0042636638501278e-09,9.075006778904237e-10,5.750799459801703e-10,1.4854081936197893e-08,1.3804689737664925e-08,7.119785142361833e+18,2.49878806516597e+18,1.539052038041863e-08,8.367635652271868
1.0,0.0,27.837191268190765,1.0531608176061775,4.913747810414956,7.874066612519031e-10,9.355438532934379e-10,8.065745024570692e-10,8.991199876862892e-10,9.104264919944058e-10,9.150546540025281e-10,6.419397850669718e-10,1.4760250414756718e-08,1.3246406791021822e-08,6.87921979106296e+18,2.7417619188407583e+18,1.5433794193198287e-08,6.223182169731305
0.0,1.0,107.67810705183919,1.014494645587742,2.8833799571029757,1.0063625868714178e-09,8.255430494288632e-10,8.646110443395952e-10,7.673669913519103e-10,8.169468008259309e-10,8.669732829972329e-10,5.808833167630072e-10,1.4279418175480953e-08,1.2119780540843503e-08,6.550635518891325e+18,2.834696965468394e+18,1.586243431531113e-08,0.6614904652638409
1.0,1.0,18.77258116130301,0.9850898233103634,4.867275761375794,7.747722018628589e-10,9.713337569550888e-10,8.201488379278969e-10,8.465727124972177e-10,7.870142798484793e-10,9.982263326353587e-10,7.140599365762466e-10,1.2525881343278979e-08,1.4509307029277148e-08,7.101165409847177e+18,2.96526329726048e+18,1.5660263703665686e-08,9.118799361945486
0.0,0.0,39.488135163824154,1.048816088821012,0.1450326636951055,8.71296367155608e-10,9.148928166824707e-10,9.370222428120714e-10,8.940079216986356e-10,1.0124569495190303e-09,9.780146575799689e-10,6.910539361574587e-10,1.4124893823640963e-08,1.4163572426476031e-08,6.535314784692808e+18,3.0883621435790863e+18,1.6513073322413106e-08,5.88330066035688
1.0,1.0,30.88335813122299,1.0931648848883266,3.642601848837816,8.963520874832459e-10,9.568973750809914e-10,8.209020207824505e-10,8.453040753144247e-10,8.383311187846318e-10,8.171592859331135e-10,7.032192833411591e-10,1.1960334859638442e-08,1.344139639414863e-08,7.109773917259117e+18,3.148158407728142e+18,1.4826495128187037e-08,4.002158529603339
1.0,1.0,25.572297079794495,0.9458412422325383,4.084941406220754,9.607823717804944e-10,8.811973324887333e-10,9.721907986294587e-10,8.47739582228772e-10,7.686286490507488e-10,9.095831892676964e-10,6.749716200922097e-10,1.18549769007451e-08,1.5502959128879484e-08,6.107260942566437e+18,2.7294770231839355e+18,1.5349486255376916e-08,1.6760857680753871
0.0,0.0,84.53433847290304,0.928729473014424,0.275334700515673,7.907666433363949e-10,8.181937583854166e-10,9.718388596559943e-10,9.754673523098497e-10,8.593257084875678e-10,9.431301918812604e-10,6.828591464129656e-10,1.5140642252010174e-08,1.4807092175913901e-08,7.300097434395108e+18,3.0678976310083604e+18,1.6583047036106962e-08,3.0585456960056945
0.0,0.0,39.818403308508564,1.0825763490445395,2.899058623441066,8.719652253592148e-10,8.690247027816655e-10,8.325236990082088e-10,9.972339139475717e-10,9.500173327536703e-10,8.151036699490604e-10,5.892797057423007e-10,1.3929971272838923e-08,1.3214846059918108e-08,7.347174893701841e+18,3.0274501516635295e+18,1.4554462077559049e-08,4.218721884448526
0.0,0.0,2.0090819645388933,1.033790615491461,4.011692045011348,8.361267386640369e-10,8.568972901974934e-10,9.513991931436548e-10,9.701577324265593e-10,9.862631965692784e-10,7.646864079105555e-10,5.798885002506862e-10,1.1796698188457682e-08,1.1944872361614248e-08,6.810617140968378e+18,2.852704442386088e+18,1.5304067899614672e-08,6.006004841850002
0.0,1.0,-8.531529821473903,0.9875972043123933,2.8095832388631328,8.392507217861083e-10,8.445100020338004e-10,9.778166524987811e-10,7.851123323199362e-10,8.81301217046979e-10,1.0078035532782333e-09,7.381663990735116e-10,1.2839965706046551e-08,1.4987587069548696e-08,6.803940340547879e+18,2.842154322168521e+18,1.6448615300055615e-08,9.227210666736388
0.0,0.0,-48.20548294586199,1.0146519140528567,0.32842981612327854,9.578121306805738e-10,8.138921319263355e-10,9.098937423600352e-10,8.33594580872773e-10,8.346833444411826e-10,1.00342049744778e-09,6.334013914795029e-10,1.450955425720403e-08,1.352131219432909e-08,6.688634688731861e+18,3.1377682114316995e+18,1.6316834588297085e-08,0.1723945665081228
0.0,0.0,49.975129138948276,1.0491227810352488,3.470301732082574,7.613870800380856e-10,9.528284540374709e-10,8.530484323594699e-10,9.406687691396829e-10,9.577146671795438e-10,8.413683137340822e-10,5.787159032705709e-10,1.555318340462882e-08,1.3651991278220494e-08,6.466051706625817e+18,2.7041436448119025e+18,1.6367778449699566e-08,3.388295543429378
0.0,0.0,-13.606945227813846,1.0546063797411436,0.3123786042198101,9.502672448993353e-10,7.819333219754223e-10,8.720056654250205e-10,1.0074957699306753e-09,8.879571615327186e-10,8.207351661838299e-10,5.971398186509065e-10,1.5165501519305767e-08,1.4120524697427722e-08,6.039273347383647e+18,2.7478252683704095e+18,1.6313986332388168e-08,2.714034405627342
0.0,1.0,-28.335894037051045,1.083978836163793,4.089169786132028,9.658412012512689e-10,9.854404761910017e-10,9.597021317188347e-10,8.215395133114005e-10,7.818515161642903e-10,7.992721307090705e-10,7.186150194758058e-10,1.3541655860590087e-08,1.4418091768958782e-08,6.062760137152991e+18,2.794811227236428e+18,1.635346084799822e-08,8.146705797667611
1.0,0.0,62.68939348898198,0.9853685577791246,0.22474057470040507,9.889460099358854e-10,8.044562796160294e-10,8.345026358551907e-10,9.881454616886824e-10,9.85488425420943e-10,9.345350206051723e-10,6.049857750266126e-10,1.289227037043672e-08,1.4207165007664719e-08,6.835111528780928e+18,2.94814209746724e+18,1.4990547218124526e-08,4.429764360914509
1.0,1.0,67.61766640787879,0.958682182003879,0.6956129312417504,9.192279780205428e-10,1.0088879075702916e-09,8.449534329315533e-10,9.477098067394193e-10,9.265749898433795e-10,9.518440846273599e-10,6.493971521161498e-10,1.2992187216472885e-08,1.2875143978640083e-08,6.523877639395423e+18,2.810208201854203e+18,1.5383439723782262e-08,6.751316769610205
0.0,1.0,80.38788060637987,1.0279328533579684,1.3827868767111098,8.446976533811492e-10,1.0110708842141168e-09,8.008392214094941e-10,1.0097963930604012e-09,7.693502781108993e-10,8.667821868669722e-10,6.834706116196819e-10,1.4715853849956239e-08,1.2454060103699806e-08,6.11817461256097e+18,2.8647685893186074e+18,1.62935270406775e-08,6.6621130010315035
1.0,0.0,35.643841340946466,0.9831455798559061,3.170490313381392,8.685176220674131e-10,8.611903084752525e-10,8.613593103653026e-10,7.837707123624005e-10,7.623004117170736e-10,8.2167359094822e-10,7.341975209690071e-10,1.5004031106791876e-08,1.1844136257185967e-08,5.893582180175538e+18,2.7090738655624724e+18,1.4517823994324474e-08,0.4138337361757971
1.0,1.0,105.92982893669958,1.0189196907897957,4.882031907160217,1.006312964901007e-09,1.0109065524485947e-09,7.819748435913694e-10,8.602654200410315e-10,7.822812796884509e-10,8.739758408179944e-10,5.723957247997998e-10,1.3217462266497958e-08,1.1783181196751356e-08,7.35039704139101e+18,2.480091034374326e+18,1.6857132743287977e-08,3.0603254515360065
1.0,1.0,113.541695611681,0.9839971596911901,0.5979360345734728,9.838214539147066e-10,9.807434033893044e-10,8.415427480112343e-10,8.814412105929631e-10,9.687766695098859e-10,8.911552754348003e-10,6.528890470996767e-10,1.426503836677375e-08,1.5347641406795713e-08,6.895603527213356e+18,2.8704274477596416e+18,1.514402377962595e-08,9.060244224896435
1.0,0.0,90.3267691626481,0.9305991573356349,0.722111269377453,8.777355809112582e-10,7.80937290344453e-10,8.548637627607557e-10,9.307089868121229e-10,8.822521536258299e-10,8.980245836385437e-10,7.393254128572523e-10,1.4764653245019623e-08,1.5777772105312216e-08,6.059425083282807e+18,2.8788544197109535e+18,1.5505486080313002e-08,7.349201378167028
0.0,1.0,59.406826761473695,0.9938853503317917,1.850663279537892,9.995380038061742e-10,1.000621455161669e-09,8.248916996357296e-10,9.261088972138828e-10,8.451665036076488e-10,8.726153333264211e-10,5.906927439314058e-10,1.517202057604821e-08,1.318561134011345e-08,6.998300408694769e+18,2.6552466942174444e+18,1.553585491113043e-08,9.144510955190531
1.0,0.0,-0.33022835358603686,1.0381835643882067,4.182733497399048,9.690305383532406e-10,7.707986540197669e-10,7.857449622602869e-10,9.902117175574145e-10,8.233205267434984e-10,7.6094837209472e-10,5.910318849438972e-10,1.4338545406028488e-08,1.259700145964354e-08,6.023193078201565e+18,2.8782055108335565e+18,1.548523264343003e-08,5.932790188810215
0.0,1.0,121.9300858916398,1.05985676153353,2.3414824542265626,9.888768248615879e-10,8.062062306097332e-10,8.92503479610635e-10,9.730229731374363e-10,8.887419279457157e-10,8.798315571771761e-10,5.8479719366093e-10,1.524768609252735e-08,1.3355370760888922e-08,6.728880909568531e+18,2.8774276959750994e+18,1.5649751536186888e-08,6.645706169538417
1.0,1.0,-5.655489905451098,0.9986652553593094,1.6148368952765502,9.33476217582284e-10,9.084872673750553e-10,9.797306171178895e-10,7.740646579047096e-10,7.810922171038402e-10,8.482070598600609e-10,6.563334863378293e-10,1.2875906728817931e-08,1.2150222080624276e-08,6.691965815022666e+18,2.6929302314333614e+18,1.448090122218191e-08,9.368355058591515
1.0,0.0,-18.52175404172241,0.9330475780420802,2.810407122722218,9.778441270393467e-10,7.805072433136034e-10,8.452537654333195e-10,8.835811912445113e-10,9.167638368478525e-10,9.013667473764241e-10,6.292299035694284e-10,1.4574029936726806e-08,1.4292949120914246e-08,5.920932836169841e+18,2.95797910746664e+18,1.531394621660641e-08,8.145382281714548
